,Date,MSFT,S&P 500 Pure Value (TR),S&P 500 ESG Quality Index (USD) TR,S&P 500 Low Rate-Sensitivity Index (USD) TR,S&P 500 Quality - Lowest Quintile Index TR,Dow Jones U.S. High Momentum Total Return Index,Dow Jones U.S. Thematic Long Size Total Return Index,S&P 500 High Rate-Sensitivity 100 Index (USD) TR,S&P 500 Pure Growth (TR),S&P 500 ESG Enhanced Value Index (USD) TR,S&P 500 Low Rate-Sensitivity 100 Index (USD) TR,S&P 500 Volatility - Highest Quintile Index TR
0,2014-12-03,48.08000183105469,9398.04,236.93,9542.97,422.37,1690.14,1731.08,8166.84,9167.89,245.23,8937.82,1454.16
1,2014-12-04,48.84000015258789,9365.96,236.47,9528.51,421.22,1690.36,1722.64,8147.07,9158.68,245.0,8942.9,1451.43
2,2014-12-05,48.41999816894531,9373.74,236.99,9531.21,422.33,1693.28,1726.01,8181.13,9183.37,245.31,8916.17,1452.03
3,2014-12-08,47.70000076293945,9289.06,234.94,9487.56,419.81,1677.35,1702.09,8064.7,9108.83,243.78,8931.76,1428.92
4,2014-12-09,47.59000015258789,9308.51,235.0,9500.33,420.33,1682.0,1719.63,8095.07,9125.11,243.51,8938.27,1438.79
5,2014-12-10,46.900001525878906,9132.33,231.25,9356.62,412.56,1652.93,1681.61,7912.87,8976.19,239.22,8837.2,1408.85
6,2014-12-11,47.16999816894531,9182.67,232.14,9413.73,414.19,1660.42,1688.21,7932.84,9040.01,240.71,8903.92,1417.87
7,2014-12-12,46.95000076293945,9025.92,228.37,9279.83,407.24,1635.97,1665.77,7756.23,8902.6,236.47,8797.33,1398.86
8,2014-12-15,46.66999816894531,8990.55,227.41,9229.26,403.63,1622.75,1653.26,7717.01,8846.04,234.84,8734.6,1391.22
9,2014-12-16,45.15999984741211,8946.2,225.8,9171.66,398.26,1609.72,1650.0,7659.35,8728.56,232.8,8689.53,1377.53
10,2014-12-17,45.7400016784668,9140.46,230.57,9352.37,406.45,1649.53,1692.32,7877.4,8931.75,237.49,8849.55,1413.79
11,2014-12-18,47.52000045776367,9334.06,237.09,9548.96,415.28,1681.92,1719.47,8068.28,9144.69,243.48,9019.93,1445.39
12,2014-12-19,47.65999984741211,9420.91,238.5,9579.95,417.97,1688.56,1730.6,8176.39,9183.84,245.16,9023.68,1465.61
13,2014-12-22,47.97999954223633,9383.53,238.06,9617.79,420.42,1694.82,1736.46,8185.32,9201.25,246.41,9056.83,1460.23
14,2014-12-23,48.45000076293945,9467.94,238.35,9636.72,421.44,1693.68,1742.46,8252.93,9157.45,247.38,9059.77,1459.06
15,2014-12-24,48.13999938964844,9431.33,238.5,9653.7,421.25,1698.44,1743.66,8238.14,9176.84,247.22,9102.16,1459.55
16,2014-12-26,47.880001068115234,9462.05,239.28,9689.75,422.94,1707.41,1750.64,8250.96,9214.75,248.04,9156.3,1465.72
17,2014-12-29,47.45000076293945,9511.92,239.7,9719.68,424.78,1711.68,1761.49,8280.33,9227.5,248.08,9197.46,1470.08
18,2014-12-30,47.02000045776367,9486.19,238.44,9660.23,423.07,1702.02,1752.23,8248.32,9172.37,247.51,9120.65,1460.39
19,2014-12-31,46.45000076293945,9390.04,236.0,9558.34,419.23,1685.94,1736.5,8171.81,9100.67,245.02,9002.05,1451.61
20,2015-01-02,46.7599983215332,9378.83,236.02,9568.76,419.57,1689.75,1731.99,8154.48,9103.57,245.31,9036.8,1450.78
21,2015-01-05,46.33000183105469,9092.84,231.94,9423.59,411.44,1669.02,1699.35,7917.37,8960.11,240.1,8958.56,1417.26
22,2015-01-06,45.650001525878906,8980.37,229.67,9359.76,406.84,1655.0,1680.85,7797.71,8863.39,237.55,8959.39,1396.74
23,2015-01-07,46.22999954223633,9031.22,232.56,9485.79,412.17,1678.38,1696.55,7868.85,9011.3,240.0,9089.12,1413.25
24,2015-01-08,47.59000015258789,9215.25,236.8,9630.26,418.68,1710.76,1724.05,8044.44,9179.31,244.01,9191.46,1442.36
25,2015-01-09,47.18999862670898,9109.96,234.93,9554.13,414.97,1702.61,1709.1,7969.12,9139.65,241.66,9133.95,1432.24
26,2015-01-12,46.59999847412109,8965.56,232.81,9494.78,412.26,1692.88,1698.24,7825.62,9056.64,239.56,9104.86,1410.79
27,2015-01-13,46.36000061035156,8908.38,231.85,9477.15,410.64,1691.07,1697.57,7765.06,9009.68,238.78,9099.09,1403.12
28,2015-01-14,45.959999084472656,8851.05,230.36,9451.26,407.3,1688.19,1690.55,7676.45,8971.66,236.91,9120.16,1396.15
29,2015-01-15,45.47999954223633,8723.04,227.97,9398.23,402.17,1673.42,1668.56,7535.04,8833.87,234.83,9124.96,1369.99
30,2015-01-16,46.2400016784668,8901.32,231.43,9518.58,407.02,1697.93,1694.03,7650.5,8972.19,237.57,9224.88,1399.24
31,2015-01-20,46.38999938964844,8853.15,232.08,9524.84,406.82,1700.15,1687.43,7623.13,8995.85,237.01,9251.66,1402.67
32,2015-01-21,45.91999816894531,8973.93,232.7,9579.08,409.89,1707.0,1698.83,7727.84,9043.15,238.63,9285.53,1420.87
33,2015-01-22,47.130001068115234,9099.37,236.46,9698.45,417.09,1734.1,1725.27,7858.21,9156.99,242.75,9361.87,1438.19
34,2015-01-23,47.18000030517578,9047.89,234.86,9658.92,415.4,1733.92,1720.96,7800.45,9163.99,240.66,9340.98,1439.64
35,2015-01-26,47.0099983215332,9124.88,235.84,9693.64,417.53,1748.67,1738.82,7855.32,9211.06,240.92,9358.09,1452.02
36,2015-01-27,42.65999984741211,9085.1,233.46,9627.5,413.14,1738.44,1730.38,7772.2,9107.66,237.32,9323.41,1440.1
37,2015-01-28,41.18999862670898,8839.56,230.57,9507.19,407.19,1719.53,1702.85,7596.31,9014.36,233.65,9229.36,1417.36
38,2015-01-29,42.0099983215332,8894.81,233.23,9590.78,411.96,1736.23,1720.97,7679.94,9133.77,236.17,9302.27,1431.64
39,2015-01-30,40.400001525878906,8862.27,229.92,9457.83,408.88,1707.77,1699.17,7611.57,8981.48,233.05,9148.83,1421.01
40,2015-02-02,41.27999877929688,9087.15,233.02,9557.98,413.64,1715.51,1719.75,7768.76,9031.03,236.0,9215.54,1439.68
41,2015-02-03,41.59999847412109,9314.4,236.89,9689.07,419.74,1738.43,1755.23,7994.21,9143.99,240.46,9293.41,1466.13
42,2015-02-04,41.84000015258789,9221.16,234.43,9643.58,418.64,1736.62,1745.33,7932.52,9126.29,238.9,9248.27,1453.84
43,2015-02-05,42.45000076293945,9341.01,236.69,9746.44,423.89,1758.25,1762.82,8031.79,9221.19,241.0,9328.2,1465.72
44,2015-02-06,42.40999984741211,9354.6,235.71,9663.62,422.7,1740.1,1757.54,8059.1,9165.4,240.62,9149.4,1460.39
45,2015-02-09,42.36000061035156,9383.02,234.61,9617.85,420.73,1724.68,1750.81,8054.6,9099.7,239.73,9091.32,1454.74
46,2015-02-10,42.59999847412109,9394.94,237.23,9723.82,425.72,1747.44,1762.29,8102.31,9250.11,241.78,9202.03,1471.36
47,2015-02-11,42.380001068115234,9371.94,237.16,9700.18,426.0,1747.32,1764.25,8100.72,9269.88,241.39,9145.6,1470.16
48,2015-02-12,43.09000015258789,9460.51,239.51,9785.58,431.1,1765.76,1783.27,8216.3,9386.72,244.02,9198.43,1496.26
49,2015-02-13,43.869998931884766,9528.33,240.7,9803.07,432.46,1767.17,1793.98,8294.61,9408.97,245.17,9167.27,1510.44
50,2015-02-17,43.58000183105469,9591.3,241.42,9814.66,432.74,1769.49,1796.73,8337.2,9422.53,245.61,9171.12,1515.37
51,2015-02-18,43.52999877929688,9545.11,241.35,9848.13,432.96,1781.79,1801.22,8290.45,9449.44,245.31,9257.78,1515.17
52,2015-02-19,43.5,9553.51,240.74,9828.6,433.47,1776.16,1799.42,8309.29,9465.94,244.74,9209.7,1521.92
53,2015-02-20,43.86000061035156,9570.89,242.73,9885.31,437.4,1791.35,1809.63,8345.72,9546.08,246.11,9255.5,1530.16
54,2015-02-23,44.150001525878906,9536.79,242.91,9892.11,436.16,1797.43,1808.04,8304.45,9541.4,245.38,9289.23,1522.04
55,2015-02-24,44.09000015258789,9571.55,243.83,9900.01,436.68,1792.59,1810.3,8340.86,9528.62,246.51,9285.51,1520.55
56,2015-02-25,43.9900016784668,9559.49,243.25,9895.16,438.27,1789.43,1812.28,8334.5,9537.59,245.7,9268.3,1526.86
57,2015-02-26,44.060001373291016,9459.04,242.26,9864.2,439.02,1787.07,1809.53,8283.93,9547.7,244.87,9241.96,1513.92
58,2015-02-27,43.84999847412109,9453.99,241.63,9855.25,437.87,1783.65,1806.04,8267.31,9526.71,244.59,9260.74,1512.55
59,2015-03-02,43.880001068115234,9441.44,242.87,9892.94,440.97,1797.13,1815.1,8320.74,9610.79,245.93,9250.12,1518.12
60,2015-03-03,43.27999877929688,9445.21,241.81,9859.17,439.36,1788.0,1806.99,8290.47,9534.74,245.07,9240.37,1515.75
61,2015-03-04,43.060001373291016,9402.03,240.51,9809.73,437.27,1780.82,1799.83,8247.15,9509.56,243.81,9189.05,1512.61
62,2015-03-05,43.11000061035156,9412.12,240.7,9841.53,438.73,1786.27,1799.73,8243.38,9541.86,244.15,9237.19,1515.47
63,2015-03-06,42.36000061035156,9279.58,237.7,9675.22,431.83,1752.87,1776.22,8137.04,9384.27,240.63,9033.26,1489.89
64,2015-03-09,42.84999847412109,9261.5,238.6,9710.17,434.2,1763.07,1779.5,8130.37,9426.0,241.84,9064.97,1482.74
65,2015-03-10,42.02999877929688,9076.05,234.59,9580.74,426.72,1740.35,1754.96,7951.87,9288.42,237.57,8979.93,1456.06
66,2015-03-11,41.97999954223633,9112.43,234.22,9565.54,426.97,1747.61,1764.57,7994.76,9310.34,237.35,8942.42,1462.44
67,2015-03-12,41.02000045776367,9204.13,237.45,9699.12,434.21,1770.96,1787.35,8081.95,9440.44,240.02,9089.43,1470.42
68,2015-03-13,41.380001068115234,9139.26,235.91,9637.05,431.05,1765.83,1776.32,8018.73,9397.53,238.43,9034.95,1459.91
69,2015-03-16,41.560001373291016,9250.07,239.23,9770.68,436.56,1793.14,1790.05,8112.56,9548.23,241.45,9159.43,1478.36
70,2015-03-17,41.70000076293945,9224.98,238.47,9738.17,436.39,1793.46,1792.6,8079.63,9534.83,240.29,9121.86,1477.59
71,2015-03-18,42.5,9398.22,240.94,9872.33,441.43,1817.54,1814.85,8205.25,9647.77,243.73,9259.45,1508.5
72,2015-03-19,42.290000915527344,9262.56,239.88,9830.81,438.69,1816.41,1808.13,8108.96,9677.76,241.93,9227.76,1498.27
73,2015-03-20,42.880001068115234,9382.89,242.22,9929.18,443.34,1834.81,1828.79,8221.8,9769.18,244.86,9336.31,1515.84
74,2015-03-23,42.86000061035156,9394.61,241.68,9915.44,442.42,1826.56,1826.34,8216.26,9723.92,244.77,9331.2,1513.63
75,2015-03-24,42.900001525878906,9327.24,240.27,9856.81,439.15,1817.64,1819.62,8174.8,9690.64,243.28,9263.77,1507.98
76,2015-03-25,41.459999084472656,9262.3,236.32,9726.0,431.98,1779.23,1789.82,8044.11,9469.7,241.78,9149.24,1488.57
77,2015-03-26,41.209999084472656,9235.53,236.3,9697.03,431.15,1775.38,1786.46,8023.64,9449.59,241.14,9110.3,1482.83
78,2015-03-27,40.970001220703125,9199.87,236.64,9748.17,433.45,1791.16,1795.52,8013.73,9526.73,241.81,9165.24,1485.27
79,2015-03-30,40.959999084472656,9332.66,239.75,9859.38,438.43,1816.8,1819.81,8126.92,9612.5,244.96,9252.55,1501.65
80,2015-03-31,40.65999984741211,9284.64,237.6,9790.25,434.4,1804.14,1815.85,8078.35,9532.03,242.72,9191.84,1488.59
81,2015-04-01,40.720001220703125,9277.34,236.43,9761.27,433.52,1795.32,1812.47,8067.06,9471.55,241.96,9183.38,1485.43
82,2015-04-02,40.290000915527344,9310.97,237.37,9806.75,435.75,1800.21,1820.55,8109.85,9511.89,242.54,9231.76,1496.14
83,2015-04-06,41.54999923706055,9410.9,239.05,9878.22,438.21,1808.25,1838.17,8179.87,9538.41,244.08,9311.58,1514.12
84,2015-04-07,41.52999877929688,9382.42,238.56,9836.47,436.58,1796.31,1825.3,8148.36,9518.04,243.76,9249.87,1512.64
85,2015-04-08,41.41999816894531,9372.54,239.17,9875.07,439.8,1809.86,1829.91,8173.15,9604.04,244.17,9285.36,1521.63
86,2015-04-09,41.47999954223633,9440.56,240.34,9891.31,441.09,1805.56,1826.52,8230.28,9627.11,245.06,9262.56,1539.66
87,2015-04-10,41.720001220703125,9459.69,241.16,9927.01,444.68,1812.88,1830.29,8238.46,9666.56,246.21,9306.08,1543.07
88,2015-04-13,41.7599983215332,9419.01,240.56,9876.97,442.67,1802.78,1826.12,8204.69,9625.93,245.25,9254.35,1535.49
89,2015-04-14,41.650001525878906,9473.39,240.96,9894.93,444.34,1800.55,1830.75,8236.63,9621.71,245.65,9279.9,1546.71
90,2015-04-15,42.2599983215332,9594.13,242.27,9931.08,446.12,1800.48,1845.61,8348.92,9668.82,247.5,9280.51,1571.86
91,2015-04-16,42.15999984741211,9565.81,241.91,9917.22,448.18,1802.03,1838.18,8317.3,9656.96,247.45,9268.21,1567.67
92,2015-04-17,41.619998931884766,9449.53,238.84,9814.94,443.31,1780.64,1815.18,8225.31,9552.28,244.68,9198.94,1548.69
93,2015-04-20,42.90999984741211,9502.55,241.08,9896.48,445.99,1795.66,1830.24,8258.72,9638.97,247.14,9264.59,1555.78
94,2015-04-21,42.63999938964844,9430.28,241.15,9887.67,444.94,1804.77,1826.93,8240.15,9684.79,246.13,9255.91,1553.22
95,2015-04-22,42.9900016784668,9481.3,242.46,9916.61,446.78,1808.32,1829.57,8296.76,9698.12,247.11,9269.04,1559.13
96,2015-04-23,43.34000015258789,9510.51,243.38,9949.14,447.22,1815.81,1841.88,8310.15,9715.63,248.14,9305.24,1565.17
97,2015-04-24,47.869998931884766,9498.28,243.24,9955.95,449.54,1810.7,1835.95,8278.85,9684.12,248.5,9326.27,1562.4
98,2015-04-27,48.02999877929688,9462.88,242.31,9889.07,447.02,1791.39,1821.3,8247.38,9611.25,247.4,9257.32,1553.22
99,2015-04-28,49.15999984741211,9521.64,243.23,9907.6,447.9,1790.32,1831.76,8287.46,9589.93,248.61,9276.95,1556.74
100,2015-04-29,49.060001373291016,9553.71,242.19,9844.05,447.91,1769.47,1820.51,8327.94,9510.0,248.06,9191.3,1560.06
101,2015-04-30,48.63999938964844,9502.39,239.71,9751.49,443.89,1744.4,1789.34,8273.85,9397.67,245.9,9097.48,1549.95
102,2015-05-01,48.65999984741211,9584.95,242.79,9856.34,448.02,1766.36,1799.16,8346.19,9554.63,248.17,9189.21,1567.61
103,2015-05-04,48.2400016784668,9628.94,243.75,9886.76,449.15,1770.15,1805.25,8385.74,9554.32,248.8,9219.32,1567.19
104,2015-05-05,47.59999847412109,9543.85,240.81,9749.97,444.32,1740.15,1780.11,8309.23,9406.6,246.14,9067.64,1547.31
105,2015-05-06,46.27999877929688,9491.85,239.99,9717.69,442.1,1738.58,1779.26,8258.31,9379.75,245.28,9052.75,1536.57
106,2015-05-07,46.70000076293945,9470.28,240.44,9763.35,445.31,1756.83,1782.48,8261.93,9451.96,246.08,9115.77,1532.89
107,2015-05-08,47.75,9602.45,243.52,9872.34,450.86,1777.98,1798.89,8357.0,9563.43,249.14,9201.64,1556.67
108,2015-05-11,47.369998931884766,9562.3,242.39,9828.65,449.36,1773.69,1797.15,8354.22,9541.78,248.45,9150.87,1548.71
109,2015-05-12,47.34999847412109,9540.98,242.22,9804.49,448.0,1766.18,1795.74,8305.48,9504.63,247.3,9141.43,1546.09
110,2015-05-13,47.630001068115234,9555.42,242.49,9782.35,447.46,1763.82,1796.11,8340.5,9494.19,247.74,9095.46,1545.7
111,2015-05-14,48.720001220703125,9566.86,245.22,9883.84,452.34,1783.71,1811.31,8387.73,9610.97,249.68,9205.76,1549.72
112,2015-05-15,48.29999923706055,9569.93,245.47,9923.0,452.33,1789.94,1813.71,8353.44,9606.63,249.87,9282.49,1551.18
113,2015-05-18,48.0099983215332,9620.29,246.36,9953.59,454.31,1804.43,1827.52,8405.93,9653.84,250.57,9296.33,1558.7
114,2015-05-19,47.58000183105469,9583.72,245.99,9944.1,454.34,1804.23,1822.65,8368.1,9624.65,250.32,9298.87,1537.88
115,2015-05-20,47.58000183105469,9582.53,246.02,9940.78,453.65,1800.33,1824.02,8374.41,9599.59,250.14,9282.91,1536.2
116,2015-05-21,47.41999816894531,9644.25,246.79,9954.29,455.16,1801.52,1825.94,8409.47,9627.7,250.94,9277.5,1550.0
117,2015-05-22,46.900001525878906,9615.9,246.35,9938.34,455.07,1799.9,1820.93,8390.09,9631.53,250.45,9258.88,1547.43
118,2015-05-26,46.59000015258789,9475.61,243.5,9837.97,451.49,1783.01,1797.53,8275.51,9524.02,247.63,9183.59,1520.62
119,2015-05-27,47.61000061035156,9532.47,246.35,9917.99,455.81,1806.13,1813.94,8354.12,9620.29,249.66,9247.84,1530.55
120,2015-05-28,47.45000076293945,9524.82,245.9,9906.79,455.41,1804.61,1810.42,8329.44,9601.45,249.43,9253.84,1520.07
121,2015-05-29,46.86000061035156,9518.69,244.06,9851.83,452.43,1799.03,1798.55,8249.96,9539.3,248.52,9199.26,1516.34
122,2015-06-01,47.22999954223633,9496.42,244.63,9873.66,454.33,1803.71,1801.06,8245.11,9589.14,248.71,9231.43,1516.11
123,2015-06-02,46.91999816894531,9540.77,244.42,9842.67,453.71,1797.33,1806.82,8314.32,9560.05,248.74,9157.64,1523.27
124,2015-06-03,46.84999847412109,9542.09,245.51,9835.01,454.2,1800.36,1818.38,8353.77,9568.85,249.46,9103.21,1517.78
125,2015-06-04,46.36000061035156,9440.36,243.4,9762.97,451.11,1782.99,1799.01,8258.98,9500.16,247.33,9066.07,1503.23
126,2015-06-05,46.13999938964844,9479.42,243.18,9730.09,451.22,1789.76,1801.7,8321.39,9507.51,247.0,8976.24,1512.92
127,2015-06-08,45.72999954223633,9416.21,241.97,9675.89,448.27,1773.83,1791.5,8256.09,9417.43,245.5,8936.25,1496.45
128,2015-06-09,45.650001525878906,9420.8,242.01,9664.96,448.92,1771.14,1789.15,8267.6,9384.94,246.14,8915.33,1495.55
129,2015-06-10,46.61000061035156,9558.56,245.25,9758.7,454.65,1791.34,1807.09,8389.29,9492.04,249.32,8977.83,1512.28
130,2015-06-11,46.43999862670898,9556.27,245.67,9788.44,455.62,1798.54,1812.28,8393.26,9510.15,250.03,9016.33,1506.11
131,2015-06-12,45.970001220703125,9485.53,243.88,9728.19,453.21,1789.48,1804.73,8342.98,9471.73,248.3,8961.9,1495.04
132,2015-06-15,45.47999954223633,9437.43,242.86,9683.06,451.58,1782.45,1794.37,8288.6,9429.17,247.28,8922.98,1489.44
133,2015-06-16,45.83000183105469,9487.81,244.17,9744.1,453.77,1795.1,1804.17,8327.14,9473.26,248.53,8991.25,1498.98
134,2015-06-17,45.970001220703125,9483.3,244.47,9786.17,454.14,1797.19,1803.66,8312.62,9504.14,248.83,9053.46,1501.72
135,2015-06-18,46.720001220703125,9536.61,246.85,9891.94,459.22,1819.72,1817.92,8365.04,9622.04,250.73,9167.58,1509.57
136,2015-06-19,46.09999847412109,9486.3,245.66,9849.14,456.64,1814.69,1813.09,8309.67,9603.55,249.65,9110.36,1502.1
137,2015-06-22,46.22999954223633,9538.39,246.99,9884.47,462.37,1827.82,1818.84,8372.35,9673.84,250.95,9111.39,1514.85
138,2015-06-23,45.90999984741211,9582.36,246.88,9864.91,464.6,1827.25,1822.55,8408.67,9662.76,251.23,9066.65,1521.06
139,2015-06-24,45.63999938964844,9497.25,245.1,9792.77,460.96,1807.42,1806.69,8330.6,9597.49,249.42,9009.56,1507.99
140,2015-06-25,45.650001525878906,9425.26,244.08,9761.82,459.16,1805.76,1800.84,8280.56,9593.65,248.56,8976.44,1499.17
141,2015-06-26,45.2599983215332,9455.2,244.5,9784.22,459.19,1802.3,1801.83,8276.3,9534.06,248.28,9027.85,1494.76
142,2015-06-29,44.369998931884766,9236.41,239.46,9592.95,448.81,1761.07,1761.38,8058.86,9295.25,243.35,8888.52,1456.87
143,2015-06-30,44.150001525878906,9271.6,240.0,9614.32,451.08,1772.72,1766.48,8084.27,9340.84,243.53,8893.8,1464.78
144,2015-07-01,44.45000076293945,9327.93,241.97,9692.57,454.54,1787.53,1770.33,8125.87,9400.31,245.24,8986.9,1458.69
145,2015-07-02,44.400001525878906,9325.59,241.85,9703.24,454.07,1784.73,1766.52,8115.55,9408.78,245.19,9026.13,1463.67
146,2015-07-06,44.38999938964844,9261.44,240.96,9678.35,452.12,1782.02,1758.05,8029.27,9376.52,243.86,9038.1,1449.15
147,2015-07-07,44.29999923706055,9335.11,242.4,9777.46,453.0,1791.85,1766.08,8047.01,9441.89,245.09,9177.32,1462.54
148,2015-07-08,44.2400016784668,9151.13,238.56,9635.97,444.35,1762.8,1738.99,7852.86,9265.65,241.24,9090.47,1428.2
149,2015-07-09,44.52000045776367,9196.57,238.68,9642.34,446.58,1768.5,1742.06,7907.84,9289.31,241.57,9058.21,1436.51
150,2015-07-10,44.61000061035156,9280.46,241.58,9745.06,453.09,1797.92,1758.35,8000.5,9428.31,244.11,9139.32,1448.52
151,2015-07-13,45.540000915527344,9379.17,243.92,9832.39,458.82,1813.98,1773.85,8103.99,9544.48,246.51,9189.76,1468.66
152,2015-07-14,45.619998931884766,9419.45,244.6,9859.59,461.65,1825.04,1779.63,8149.01,9589.64,247.18,9201.37,1479.38
153,2015-07-15,45.7599983215332,9361.37,244.2,9838.23,462.04,1818.66,1763.06,8105.14,9566.54,246.67,9200.79,1460.01
154,2015-07-16,46.65999984741211,9425.41,245.73,9913.86,467.08,1834.04,1769.54,8161.65,9625.13,248.25,9293.85,1471.77
155,2015-07-17,46.619998931884766,9331.09,245.04,9874.97,468.13,1826.99,1751.67,8090.45,9626.63,247.25,9246.38,1453.85
156,2015-07-20,46.91999816894531,9263.15,245.46,9860.86,468.17,1829.52,1743.65,8048.22,9641.64,246.6,9232.2,1437.24
157,2015-07-21,47.27999877929688,9240.93,243.54,9814.3,466.92,1819.19,1732.81,8044.29,9635.76,245.23,9182.82,1437.84
158,2015-07-22,45.540000915527344,9241.67,242.82,9825.68,467.85,1823.2,1734.12,8051.38,9659.25,245.09,9220.68,1429.36
159,2015-07-23,46.11000061035156,9180.8,241.85,9771.78,464.69,1813.16,1717.42,8006.57,9643.43,243.26,9150.88,1430.57
160,2015-07-24,45.93999862670898,9072.3,239.61,9689.98,462.64,1800.55,1697.14,7884.45,9509.71,239.97,9106.73,1398.58
161,2015-07-27,45.34999847412109,8993.52,238.08,9661.07,460.76,1781.74,1679.11,7786.98,9444.17,238.36,9132.93,1379.83
162,2015-07-28,45.34000015258789,9106.97,240.95,9772.13,465.18,1801.6,1695.17,7918.84,9593.64,241.27,9208.39,1405.46
163,2015-07-29,46.290000915527344,9215.02,242.66,9841.2,468.26,1814.85,1712.7,8009.0,9646.79,243.15,9248.0,1415.47
164,2015-07-30,46.880001068115234,9188.97,243.1,9846.84,467.54,1821.07,1714.2,8022.19,9654.0,243.09,9259.55,1413.2
165,2015-07-31,46.70000076293945,9139.32,242.49,9869.51,466.37,1822.54,1720.42,7972.29,9663.97,242.43,9320.88,1409.9
166,2015-08-03,46.810001373291016,9069.55,241.46,9853.42,465.46,1815.12,1710.58,7919.88,9657.52,241.13,9351.59,1394.42
167,2015-08-04,47.540000915527344,9055.43,240.31,9829.64,464.86,1812.46,1710.21,7916.96,9649.73,240.25,9299.49,1395.01
168,2015-08-05,47.58000183105469,9063.98,241.39,9865.41,467.11,1823.32,1716.8,7925.65,9698.3,241.06,9328.09,1389.59
169,2015-08-06,46.619998931884766,9088.05,240.17,9804.04,463.02,1798.78,1702.63,7913.29,9546.57,239.59,9304.89,1385.11
170,2015-08-07,46.7400016784668,9041.11,239.21,9801.17,461.61,1795.95,1696.75,7850.03,9547.16,238.3,9325.26,1372.98
171,2015-08-10,47.33000183105469,9246.23,242.4,9899.19,466.49,1816.51,1726.76,8047.83,9650.99,241.61,9344.91,1407.58
172,2015-08-11,46.40999984741211,9168.25,239.75,9846.19,462.01,1802.66,1709.92,7908.91,9581.54,238.9,9350.84,1392.9
173,2015-08-12,46.7400016784668,9194.29,240.04,9883.86,460.98,1799.4,1711.02,7901.33,9603.53,238.95,9421.76,1402.94
174,2015-08-13,46.72999954223633,9156.14,239.79,9874.54,461.22,1804.29,1705.71,7866.98,9626.77,238.58,9431.6,1387.96
175,2015-08-14,47.0,9192.35,240.62,9921.12,463.73,1815.81,1715.78,7905.71,9652.18,239.51,9485.39,1386.03
176,2015-08-17,47.31999969482422,9218.98,241.97,9976.91,467.02,1832.07,1731.8,7932.73,9735.25,240.62,9538.35,1396.35
177,2015-08-18,47.27000045776367,9208.14,241.51,9956.1,466.0,1823.7,1723.56,7908.93,9707.49,239.74,9524.85,1387.78
178,2015-08-19,46.61000061035156,9094.15,239.36,9901.54,462.73,1808.82,1705.56,7793.86,9656.33,237.62,9507.92,1366.93
179,2015-08-20,45.65999984741211,8894.33,234.83,9729.95,450.2,1760.54,1667.24,7596.42,9409.19,233.06,9405.71,1327.64
180,2015-08-21,43.06999969482422,8595.98,228.01,9481.36,435.5,1711.1,1635.33,7362.77,9106.81,226.29,9200.46,1286.0
181,2015-08-24,41.68000030517578,8206.41,219.31,9125.03,415.78,1641.17,1573.38,7027.11,8766.64,217.26,8841.51,1230.88
182,2015-08-25,40.470001220703125,8093.51,216.0,8976.12,411.2,1629.55,1560.33,6922.31,8679.99,213.47,8640.58,1222.52
183,2015-08-26,42.709999084472656,8344.02,224.36,9254.94,428.3,1680.69,1598.23,7155.48,9021.78,221.79,8879.13,1268.17
184,2015-08-27,43.900001525878906,8603.37,229.47,9455.31,440.41,1719.24,1639.64,7423.87,9265.09,226.83,9020.78,1327.94
185,2015-08-28,43.93000030517578,8641.49,229.45,9464.18,440.42,1724.61,1649.7,7459.77,9262.08,227.02,9008.44,1343.63
186,2015-08-31,43.52000045776367,8654.24,227.64,9371.77,436.4,1707.39,1644.55,7470.51,9166.02,225.86,8883.32,1346.74
187,2015-09-01,41.81999969482422,8370.38,220.87,9125.07,421.86,1660.4,1599.21,7196.65,8927.56,219.39,8670.09,1301.71
188,2015-09-02,43.36000061035156,8477.72,224.38,9256.02,429.86,1690.83,1617.87,7309.53,9123.83,222.48,8762.72,1320.93
189,2015-09-03,43.5,8517.57,224.77,9289.42,429.4,1695.09,1624.49,7338.07,9122.95,223.31,8788.9,1322.91
190,2015-09-04,42.61000061035156,8370.3,221.06,9152.99,422.57,1675.53,1603.89,7211.07,9002.09,219.37,8659.49,1302.46
191,2015-09-08,43.88999938964844,8592.53,226.77,9376.27,433.07,1724.37,1642.28,7423.06,9238.93,224.63,8863.43,1336.87
192,2015-09-09,43.06999969482422,8495.01,223.46,9251.16,428.33,1705.48,1623.69,7326.26,9116.45,221.67,8737.12,1317.7
193,2015-09-10,43.290000915527344,8542.43,224.6,9279.22,430.35,1710.88,1626.59,7351.82,9172.29,222.32,8753.03,1325.45
194,2015-09-11,43.47999954223633,8550.37,225.92,9333.61,431.82,1724.61,1633.64,7342.98,9232.57,223.25,8835.84,1321.61
195,2015-09-14,43.040000915527344,8503.78,225.18,9302.02,430.11,1716.93,1627.28,7304.5,9193.21,222.27,8827.11,1315.0
196,2015-09-15,43.97999954223633,8608.79,227.84,9401.32,436.89,1734.16,1645.25,7416.88,9297.62,225.42,8910.96,1333.06
197,2015-09-16,44.29999923706055,8713.05,229.95,9499.85,440.81,1741.68,1665.27,7509.24,9386.65,227.8,9014.32,1362.81
198,2015-09-17,44.25,8647.49,228.89,9517.71,439.32,1744.11,1659.94,7428.87,9409.57,226.57,9089.0,1358.68
